INSTRUCCIONES: Favor de llenar la columna amarilla con las dosis reales aplicadas para verificar congruencia con el stock.,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4
28/02/2026,1120,,0,
01/03/2026,1120,,0,
02/03/2026,259,,215,
03/03/2026,259,,111,
04/03/2026,8820,,336,
05/03/2026,14200,,264,
06/03/2026,15600,,238,
07/03/2026,15660,,40,
08/03/2026,15580,,10,
09/03/2026,10370,,2314,
10/03/2026,16710,,623,
11/03/2026,17050,,287,
12/03/2026,18290,,1346,
13/03/2026,17700,,0,
14/03/2026,17700,,0,
