Cálculos propios con datos de CONAPO 2026,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42
Edad,Canatlán,Canelas,Coneto de Comonfort,Cuencamé,Durango,El Oro,General Simón Bolívar,Gómez Palacio,Guadalupe Victoria,Guanaceví,Hidalgo,Indé,Lerdo,Mapimí,Mezquital,Nazas,Nombre de Dios,Nuevo Ideal,Ocampo,Otáez,Pánuco de Coronado,Peñón Blanco,Poanas,Pueblo Nuevo,Rodeo,San Bernardo,San Dimas,San Juan de Guadalupe,San Juan del Río,San Luis del Cordero,San Pedro del Gallo,Santa Clara,Santiago Papasquiaro,Súchil,Tamazula,Tepehuanes,Tlahualilo,Topia,Vicente Guerrero,,,Poblacion Total H y M
Hombres,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,77,7,10,74,1066,34,30,572,75,26,16,20,272,52,47,39,48,58,31,7,38,29,63,60,35,14,27,15,7,7,21,97,19,39,34,46,14,51,32,3209.0,,6783
76,72,7,9,69,997,32,28,535,70,24,15,19,254,49,44,36,45,54,29,7,35,27,59,56,33,13,25,14,7,7,20,90,18,37,32,43,13,48,30,3002.0,,6348
77,68,6,9,65,934,30,26,502,66,23,14,18,239,46,42,34,42,51,27,6,33,26,55,52,31,12,24,13,6,6,19,85,17,34,30,40,12,45,28,2816.0,,5958
78,63,6,8,61,870,28,24,468,62,21,13,17,223,43,39,32,39,47,25,6,31,24,52,49,29,11,22,13,6,6,17,79,16,32,28,38,11,42,26,2627.0,,5560
79,59,5,7,56,807,26,23,435,57,20,12,15,207,40,36,30,36,44,24,6,29,22,48,45,27,10,21,12,6,5,16,73,15,30,26,35,11,39,24,2439.0,,5162
80,54,5,7,52,745,24,21,401,53,18,11,14,191,37,33,27,34,40,22,5,26,20,44,42,25,10,19,11,5,5,15,68,14,27,24,32,10,36,22,2249.0,,4760
81,49,5,6,48,682,22,19,367,48,17,11,13,175,34,30,25,31,37,20,5,24,19,40,38,23,9,17,10,5,5,14,62,12,25,22,29,9,33,20,2060.0,,4362
82,45,4,6,43,618,20,17,333,44,15,10,12,158,30,28,23,28,34,18,4,22,17,37,35,21,8,16,9,4,4,12,56,11,23,20,27,8,30,19,1869.0,,3958
83,40,4,5,39,556,18,16,300,39,14,9,11,142,27,25,20,25,30,16,4,20,15,33,31,19,7,14,8,4,4,11,51,10,21,18,24,7,27,17,1681.0,,3561
84,36,3,5,35,499,16,14,269,35,12,8,10,128,25,22,18,23,27,15,3,18,14,30,28,17,6,13,7,3,3,10,45,9,18,16,22,7,24,15,1508.0,,3194
85,32,3,4,31,448,14,12,239,31,11,7,8,114,22,20,16,20,24,13,3,16,12,26,25,15,6,11,6,3,3,9,40,8,16,14,19,6,21,13,1341.0,,2842
86,28,3,4,27,390,13,11,211,28,10,6,7,100,19,17,14,18,21,11,3,14,11,23,22,13,5,10,6,3,3,8,36,7,14,12,17,5,19,12,1181.0,,2501
87,25,2,3,24,343,11,10,184,24,8,5,7,87,17,15,12,15,19,10,2,12,9,20,19,11,4,9,5,2,2,7,31,6,13,11,15,4,17,10,1030.0,,2180
88,21,2,3,21,295,10,8,158,21,7,5,6,75,14,13,11,13,16,9,2,10,8,17,17,10,4,7,4,2,2,6,27,5,11,9,13,4,14,9,889.0,,1880
89,18,2,2,18,253,8,7,136,18,6,4,5,64,12,11,9,11,14,7,2,9,7,15,14,8,3,6,4,2,2,5,23,5,9,8,11,3,12,8,761.0,,1607
90,16,1,2,15,216,7,6,115,15,5,3,4,55,11,10,8,10,12,6,1,8,6,13,12,7,3,5,3,1,1,4,19,4,8,7,9,3,10,6,647.0,,1364
91,13,1,2,13,180,6,5,97,13,4,3,3,46,9,8,7,8,10,5,1,6,5,11,10,6,2,5,3,1,1,4,16,3,7,6,8,2,9,5,544.0,,1144
92,11,1,1,10,151,5,4,81,11,4,2,3,38,7,7,5,7,8,4,1,5,4,9,8,5,2,4,2,1,1,3,14,3,6,5,6,2,7,4,452.0,,948
93,9,1,1,9,122,4,3,66,9,3,2,2,31,6,5,4,6,7,4,1,4,3,7,7,4,2,3,2,1,1,2,11,2,5,4,5,2,6,4,370.0,,772
94,7,1,1,7,98,3,3,53,7,2,2,2,25,5,4,4,4,5,3,1,3,3,6,6,3,1,3,1,1,1,2,9,2,4,3,4,1,5,3,298.0,,617
95,6,1,1,5,77,3,2,42,6,2,1,1,20,4,3,3,4,4,2,1,3,2,5,4,3,1,2,1,1,1,2,7,1,3,2,3,1,4,2,236.0,,483
96,4,0,1,4,62,2,2,32,4,1,1,1,15,3,3,2,3,3,2,0,2,2,4,3,2,1,2,1,0,0,1,5,1,2,2,3,1,3,2,182.0,,370
97,3,0,0,3,47,1,1,24,3,1,1,1,12,2,2,2,2,2,1,0,2,1,3,3,2,1,1,1,0,0,1,4,1,2,1,2,1,2,1,137.0,,278
