ANÁLISIS DE CONSUMO EN PUNTOS DE VACUNACIÓN,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5
,,,,,
Período,Biológico,Stock Inicial (Puntos),Stock Final (Puntos),Dosis Consumidas (Neto),% Variación
19 Feb - 26 Feb,SR,1261,669,592,0.4694686756542427
19 Feb - 26 Feb,SRP,5369,6006,-637,-0.1186440677966102
,,,,,
27 Feb - 09 Mar,SR,1120,10370,-9250,-8.258928571428571
27 Feb - 09 Mar,SRP,8368,5370,2998,0.3582695984703633
